tag	EP	MP	LP	SP	LSP
DehaBAV1_1069	24.9860976	20.00862606	8.094575961	8.058754915	0
DehaBAV1_0739	10.56554984	12.98889273	12.44222162	33.47705677	0
DehaBAV1_0640	35.69442515	43.25467236	49.10582269	11.12869587	50.53423658
DehaBAV1_0310	13.84943696	10.27133525	3.789340429	11.12869587	0
DehaBAV1_0365	31.76803838	26.65155392	64.36579727	22.60752696	0
DehaBAV1_0995	25.98554151	25.0452327	12.72505491	27.2462057	50.53423658
DehaBAV1_0171	4.85444182	4.624741431	2.536528956	7.449453634	0
DehaBAV1_0328	36.55109135	54.86473813	85.77624866	58.45425423	0
DehaBAV1_0705	45.18914224	30.65288742	55.56682023	49.85373265	0
DehaBAV1_0267	166.9785208	211.3678721	102.3204772	133.9854548	151.6027097
DehaBAV1_0343	6.282218826	7.348537247	6.116888664	4.029377458	0
DehaBAV1_0593	15.34860281	12.45338465	11.89595694	22.25739173	0
DehaBAV1_0369	33.48137079	23.11302063	22.36156412	26.98703964	0
DehaBAV1_0416	62.17968861	42.0744619	50.1816323	30.31614665	101.0684732
DehaBAV1_0710	99.30189076	73.46152502	58.52813554	67.12231042	0
DehaBAV1_0139	0.785277353	1.381020831	0.878333014	4.029377458	0
DehaBAV1_0120	0.214166551	0.867639616	1.007172683	0	0
DehaBAV1_0546	16.20526902	12.12416053	11.28159175	7.099318409	0
DehaBAV1_1001	34.76637009	26.9652823	15.28566496	12.08813237	0
DehaBAV1_1034	162.9807452	135.2480991	73.11246934	71.24265705	0
DehaBAV1_1055	1.856110108	3.102815446	21.57433985	0	0
DehaBAV1_0426	31.12553873	29.6858016	20.27282976	15.15807332	0
DehaBAV1_0133	51.11441681	61.74421746	165.3915893	81.50288558	101.0684732
DehaBAV1_0697	1.713332407	2.396214681	1.707430985	0	0
DehaBAV1_0004	221.733769	201.2145363	188.5335527	152.0218376	0
DehaBAV1_0152	9.923050191	10.12159905	8.622511611	4.029377458	50.53423658
DehaBAV1_0661	290.6240095	229.6567725	110.1322198	195.7591229	0
DehaBAV1_0665	75.67218131	82.64211119	84.76800313	61.33256375	0
DehaBAV1_0510	45.18914224	41.81434784	41.14115925	84.29022593	0
DehaBAV1_0039	0.785277353	1.287482196	1.885505697	0	0
DehaBAV1_1105	26.84220771	25.30007327	26.03249615	15.50820855	0
DehaBAV1_0656	78.17079107	83.52986421	46.84637496	99.79843448	0
